=== REPORTE FINAL DEL USUARIO ===
Cantidad de eventos registrados: 103

Historial:
[2026-08-14 11:25:03] inicio: Se inicio la aplicacion
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Ana'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Carlos'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'María'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'José'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Luis'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Sofía'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Juan'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Laura'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Pedro'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Carmen'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Miguel'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Andrea'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Daniel'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Patricia'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Jorge'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Lucía'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Fernando'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Isabel'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Ricardo'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Valentina'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Diego'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Gabriela'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Alejandro'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Paula'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Martín'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Camila'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Francisco'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Elena'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Sergio'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Natalia'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Manuel'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Cristina'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Javier'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Beatriz'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Antonio'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Marta'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Roberto'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Claudia'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Raúl'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Adriana'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Pablo'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Silvia'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Álvaro'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Teresa'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Andrés'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Rosa'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Eduardo'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Verónica'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Hugo'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Lorena'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Marco'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Julia'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Óscar'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Alicia'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Iván'
[2026-08-14 11:25:07] insertarAlFinal: Se inserto 'Carolina'
